Index;date;Taux
I01407Y Index;27/01/2020;-0.333
I01408Y Index;27/01/2020;-0.272
I01406M Index;27/01/2020;-0.586
I01409Y Index;27/01/2020;-0.193
I01401Y Index;27/01/2020;-0.588
I01402Y Index;27/01/2020;-0.595
I01410Y Index;27/01/2020;-0.114
I01403Y Index;27/01/2020;-0.584
I01415Y Index;27/01/2020;0.208
I01420Y Index;27/01/2020;0.476
I01404Y Index;27/01/2020;-0.54
I01405Y Index;27/01/2020;-0.463
I01430Y Index;27/01/2020;0.744
I01406Y Index;27/01/2020;-0.397
I01403M Index;28/01/2020;-0.582
I01407Y Index;28/01/2020;-0.301
I01408Y Index;28/01/2020;-0.235
I01406M Index;28/01/2020;-0.587
I01409Y Index;28/01/2020;-0.162
I01401Y Index;28/01/2020;-0.59
I01402Y Index;28/01/2020;-0.588
I01410Y Index;28/01/2020;-0.081
I01403Y Index;28/01/2020;-0.569
I01415Y Index;28/01/2020;0.243
I01420Y Index;28/01/2020;0.502
I01404Y Index;28/01/2020;-0.521
I01405Y Index;28/01/2020;-0.44
I01430Y Index;28/01/2020;0.768
I01406Y Index;28/01/2020;-0.369
I01403M Index;29/01/2020;-0.58
I01407Y Index;29/01/2020;-0.329
I01408Y Index;29/01/2020;-0.266
I01406M Index;29/01/2020;-0.592
I01409Y Index;29/01/2020;-0.19
I01401Y Index;29/01/2020;-0.594
I01402Y Index;29/01/2020;-0.596
I01410Y Index;29/01/2020;-0.11
I01403Y Index;29/01/2020;-0.584
I01415Y Index;29/01/2020;0.201
I01420Y Index;29/01/2020;0.465
I01404Y Index;29/01/2020;-0.536
I01405Y Index;29/01/2020;-0.462
I01430Y Index;29/01/2020;0.725
I01406Y Index;29/01/2020;-0.392
I01403M Index;30/01/2020;-0.586
I01407Y Index;30/01/2020;-0.35
I01408Y Index;30/01/2020;-0.29
I01406M Index;30/01/2020;-0.592
I01409Y Index;30/01/2020;-0.213
I01401Y Index;30/01/2020;-0.601
I01402Y Index;30/01/2020;-0.612
I01410Y Index;30/01/2020;-0.133
I01403Y Index;30/01/2020;-0.601
I01415Y Index;30/01/2020;0.175
I01420Y Index;30/01/2020;0.44
I01404Y Index;30/01/2020;-0.558
I01405Y Index;30/01/2020;-0.485
I01430Y Index;30/01/2020;0.701
I01406Y Index;30/01/2020;-0.414
I01403M Index;31/01/2020;-0.589
I01407Y Index;31/01/2020;-0.382
I01408Y Index;31/01/2020;-0.322
I01406M Index;31/01/2020;-0.593
I01409Y Index;31/01/2020;-0.248
I01401Y Index;31/01/2020;-0.608
I01402Y Index;31/01/2020;-0.631
I01410Y Index;31/01/2020;-0.168
I01403Y Index;31/01/2020;-0.622
I01415Y Index;31/01/2020;0.145
I01420Y Index;31/01/2020;0.406
I01404Y Index;31/01/2020;-0.585
I01405Y Index;31/01/2020;-0.517
I01430Y Index;31/01/2020;0.672
I01406Y Index;31/01/2020;-0.447
I01403M Index;03/02/2020;-0.601
I01407Y Index;03/02/2020;-0.384
I01408Y Index;03/02/2020;-0.322
I01406M Index;03/02/2020;-0.598
I01409Y Index;03/02/2020;-0.244
I01401Y Index;03/02/2020;-0.612
I01402Y Index;03/02/2020;-0.635
I01410Y Index;03/02/2020;-0.163
I01403Y Index;03/02/2020;-0.621
I01415Y Index;03/02/2020;0.149
I01420Y Index;03/02/2020;0.412
I01404Y Index;03/02/2020;-0.585
I01405Y Index;03/02/2020;-0.516
I01430Y Index;03/02/2020;0.674
I01406Y Index;03/02/2020;-0.448
I01403M Index;04/02/2020;-0.605
I01407Y Index;04/02/2020;-0.349
I01408Y Index;04/02/2020;-0.285
I01406M Index;04/02/2020;-0.596
I01409Y Index;04/02/2020;-0.205
I01401Y Index;04/02/2020;-0.595
I01402Y Index;04/02/2020;-0.621
I01410Y Index;04/02/2020;-0.124
I01403Y Index;04/02/2020;-0.605
I01415Y Index;04/02/2020;0.183
I01420Y Index;04/02/2020;0.453
I01404Y Index;04/02/2020;-0.565
I01405Y Index;04/02/2020;-0.491
I01430Y Index;04/02/2020;0.714
I01406Y Index;04/02/2020;-0.417
I01403M Index;05/02/2020;-0.608
I01407Y Index;05/02/2020;-0.324
I01408Y Index;05/02/2020;-0.256
I01406M Index;05/02/2020;-0.6
I01409Y Index;05/02/2020;-0.175
I01401Y Index;05/02/2020;-0.59
I01402Y Index;05/02/2020;-0.609
I01410Y Index;05/02/2020;-0.093
I01403Y Index;05/02/2020;-0.59
I01415Y Index;05/02/2020;0.221
I01420Y Index;05/02/2020;0.492
I01404Y Index;05/02/2020;-0.544
I01405Y Index;05/02/2020;-0.467
I01430Y Index;05/02/2020;0.754
I01406Y Index;05/02/2020;-0.392
I01403M Index;06/02/2020;-0.607
I01407Y Index;06/02/2020;-0.326
I01408Y Index;06/02/2020;-0.261
I01406M Index;06/02/2020;-0.592
I01409Y Index;06/02/2020;-0.181
I01401Y Index;06/02/2020;-0.596
I01402Y Index;06/02/2020;-0.604
I01410Y Index;06/02/2020;-0.099
I01403Y Index;06/02/2020;-0.584
I01415Y Index;06/02/2020;0.216
I01420Y Index;06/02/2020;0.484
I01404Y Index;06/02/2020;-0.543
I01405Y Index;06/02/2020;-0.464
I01430Y Index;06/02/2020;0.746
I01406Y Index;06/02/2020;-0.394
I01403M Index;07/02/2020;-0.609
I01407Y Index;07/02/2020;-0.346
I01408Y Index;07/02/2020;-0.283
I01406M Index;07/02/2020;-0.596
I01409Y Index;07/02/2020;-0.201
I01401Y Index;07/02/2020;-0.596
I01402Y Index;07/02/2020;-0.615
I01410Y Index;07/02/2020;-0.12
I01403Y Index;07/02/2020;-0.596
I01415Y Index;07/02/2020;0.193
I01420Y Index;07/02/2020;0.459
I01404Y Index;07/02/2020;-0.558
I01405Y Index;07/02/2020;-0.481
I01430Y Index;07/02/2020;0.718
I01406Y Index;07/02/2020;-0.411
I01403M Index;10/02/2020;-0.608
I01407Y Index;10/02/2020;-0.366
I01408Y Index;10/02/2020;-0.307
I01406M Index;10/02/2020;-0.597
I01409Y Index;10/02/2020;-0.229
I01401Y Index;10/02/2020;-0.593
I01402Y Index;10/02/2020;-0.609
I01410Y Index;10/02/2020;-0.148
I01403Y Index;10/02/2020;-0.596
I01415Y Index;10/02/2020;0.161
I01420Y Index;10/02/2020;0.425
I01404Y Index;10/02/2020;-0.562
I01405Y Index;10/02/2020;-0.488
I01430Y Index;10/02/2020;0.683
I01406Y Index;10/02/2020;-0.428
I01403M Index;11/02/2020;-0.604
I01407Y Index;11/02/2020;-0.349
I01408Y Index;11/02/2020;-0.288
I01406M Index;11/02/2020;-0.604
I01409Y Index;11/02/2020;-0.209
I01401Y Index;11/02/2020;-0.597
I01402Y Index;11/02/2020;-0.609
I01410Y Index;11/02/2020;-0.127
I01403Y Index;11/02/2020;-0.591
I01415Y Index;11/02/2020;0.184
I01420Y Index;11/02/2020;0.453
I01404Y Index;11/02/2020;-0.556
I01405Y Index;11/02/2020;-0.477
I01430Y Index;11/02/2020;0.715
I01406Y Index;11/02/2020;-0.412
I01403M Index;12/02/2020;-0.609
I01407Y Index;12/02/2020;-0.344
I01408Y Index;12/02/2020;-0.282
I01406M Index;12/02/2020;-0.601
I01409Y Index;12/02/2020;-0.204
I01401Y Index;12/02/2020;-0.594
I01402Y Index;12/02/2020;-0.607
I01410Y Index;12/02/2020;-0.122
I01403Y Index;12/02/2020;-0.588
I01415Y Index;12/02/2020;0.184
I01420Y Index;12/02/2020;0.449
I01404Y Index;12/02/2020;-0.552
I01405Y Index;12/02/2020;-0.473
I01430Y Index;12/02/2020;0.707
I01406Y Index;12/02/2020;-0.406
I01403M Index;13/02/2020;-0.607
I01407Y Index;13/02/2020;-0.349
I01408Y Index;13/02/2020;-0.289
I01406M Index;13/02/2020;-0.599
I01409Y Index;13/02/2020;-0.215
I01401Y Index;13/02/2020;-0.6
I01402Y Index;13/02/2020;-0.617
I01410Y Index;13/02/2020;-0.133
I01403Y Index;13/02/2020;-0.595
I01415Y Index;13/02/2020;0.174
I01420Y Index;13/02/2020;0.441
I01404Y Index;13/02/2020;-0.557
I01405Y Index;13/02/2020;-0.481
I01430Y Index;13/02/2020;0.701
I01406Y Index;13/02/2020;-0.411
I01403M Index;14/02/2020;-0.603
I01407Y Index;14/02/2020;-0.36
I01408Y Index;14/02/2020;-0.3
I01406M Index;14/02/2020;-0.604
I01409Y Index;14/02/2020;-0.225
I01401Y Index;14/02/2020;-0.602
I01402Y Index;14/02/2020;-0.629
I01410Y Index;14/02/2020;-0.143
I01403Y Index;14/02/2020;-0.608
I01415Y Index;14/02/2020;0.165
I01420Y Index;14/02/2020;0.43
I01404Y Index;14/02/2020;-0.57
I01405Y Index;14/02/2020;-0.492
I01430Y Index;14/02/2020;0.689
I01406Y Index;14/02/2020;-0.425
I01403M Index;17/02/2020;-0.597
I01407Y Index;17/02/2020;-0.363
I01408Y Index;17/02/2020;-0.303
I01406M Index;17/02/2020;-0.59
I01409Y Index;17/02/2020;-0.228
I01401Y Index;17/02/2020;-0.592
I01402Y Index;17/02/2020;-0.622
I01410Y Index;17/02/2020;-0.146
I01403Y Index;17/02/2020;-0.603
I01415Y Index;17/02/2020;0.162
I01420Y Index;17/02/2020;0.426
I01404Y Index;17/02/2020;-0.566
I01405Y Index;17/02/2020;-0.489
I01430Y Index;17/02/2020;0.685
I01406Y Index;17/02/2020;-0.424
I01403M Index;18/02/2020;-0.591
I01407Y Index;18/02/2020;-0.361
I01408Y Index;18/02/2020;-0.305
I01406M Index;18/02/2020;-0.589
I01409Y Index;18/02/2020;-0.229
I01401Y Index;18/02/2020;-0.591
I01402Y Index;18/02/2020;-0.615
I01410Y Index;18/02/2020;-0.147
I01403Y Index;18/02/2020;-0.598
I01415Y Index;18/02/2020;0.158
I01420Y Index;18/02/2020;0.421
I01404Y Index;18/02/2020;-0.561
I01405Y Index;18/02/2020;-0.485
I01430Y Index;18/02/2020;0.676
I01406Y Index;18/02/2020;-0.422
I01403M Index;19/02/2020;-0.59
I01407Y Index;19/02/2020;-0.374
I01408Y Index;19/02/2020;-0.317
I01406M Index;19/02/2020;-0.588
I01409Y Index;19/02/2020;-0.242
I01401Y Index;19/02/2020;-0.586
I01402Y Index;19/02/2020;-0.617
I01410Y Index;19/02/2020;-0.164
I01403Y Index;19/02/2020;-0.603
I01415Y Index;19/02/2020;0.14
I01420Y Index;19/02/2020;0.401
I01404Y Index;19/02/2020;-0.571
I01405Y Index;19/02/2020;-0.497
I01430Y Index;19/02/2020;0.656
I01406Y Index;19/02/2020;-0.434
I01403M Index;20/02/2020;-0.586
I01407Y Index;20/02/2020;-0.398
I01408Y Index;20/02/2020;-0.344
I01406M Index;20/02/2020;-0.586
I01409Y Index;20/02/2020;-0.273
I01401Y Index;20/02/2020;-0.595
I01402Y Index;20/02/2020;-0.63
I01410Y Index;20/02/2020;-0.198
I01403Y Index;20/02/2020;-0.614
I01415Y Index;20/02/2020;0.096
I01420Y Index;20/02/2020;0.351
I01404Y Index;20/02/2020;-0.582
I01405Y Index;20/02/2020;-0.512
I01430Y Index;20/02/2020;0.599
I01406Y Index;20/02/2020;-0.455
I01403M Index;21/02/2020;-0.562
I01407Y Index;21/02/2020;-0.384
I01408Y Index;21/02/2020;-0.332
I01406M Index;21/02/2020;-0.578
I01409Y Index;21/02/2020;-0.27
I01401Y Index;21/02/2020;-0.585
I01402Y Index;21/02/2020;-0.631
I01410Y Index;21/02/2020;-0.195
I01403Y Index;21/02/2020;-0.607
I01415Y Index;21/02/2020;0.089
I01420Y Index;21/02/2020;0.342
I01404Y Index;21/02/2020;-0.573
I01405Y Index;21/02/2020;-0.502
I01430Y Index;21/02/2020;0.585
I01406Y Index;21/02/2020;-0.444
I01403M Index;24/02/2020;-0.581
I01407Y Index;24/02/2020;-0.411
I01408Y Index;24/02/2020;-0.358
I01406M Index;24/02/2020;-0.6
I01409Y Index;24/02/2020;-0.29
I01401Y Index;24/02/2020;-0.601
I01402Y Index;24/02/2020;-0.653
I01410Y Index;24/02/2020;-0.219
I01403Y Index;24/02/2020;-0.634
